	liquid	tank_failure_pressure	liquid_ratio	tank_width	tank_length	tank_height	BLEVE_height	vapour_temperature	liquid_temperature	status	gas_height	sensor_distance
P1420	0	23.1	0.4133187	1.2	6.4	1	1.6	360	362.8	0	0.6	15
P1421	0	13.8	0.3436841	1.4	0.8	1.6	0.4	414	313.7	0	1.2	15
P1422	0	18.9	0.4787308	1	8.6	0.6	0.8	299.8	356.8	0	0.4	15
P1423	0	37.6	0.4354898	1.2	6.6	2.4	0.6	324.6	287.9	1	1.4	15
P1424	0	36.6	0.3887197	2.6	3.2	1.8	1	398.4	289.4	1	1.2	15
P1425	0	8.6	0.3065858	2.6	8	1.6	0.8	430.8	357.9	0	1.2	15
P1426	0	13.3	0.2854199	1.6	6.8	1	1.4	288.8	357.5	0	0.8	15
P1427	0	32.6	0.1714285	0.8	5	0.6	0.8	333.7	338.3	1	0.4	15
P1428	0	21.3	0.2595625	2.8	9.8	2	1	298.8	338.6	0	1.6	15
P1429	0	34.3	0.7593248	2.2	8.8	3	1.4	338.1	313.3	1	0.8	15
P1430	0	30.5	0.7924717	1.2	5.2	2	1.8	430.4	288.8	1	0.4	15
P1431	0	30.1	0.4654321	1.8	10	2.6	0.2	415.5	310.8	1	1.4	15
P1432	0	17.1	0.2757808	0.8	5	1	0.6	379.5	353.2	0	0.8	15
P1433	0	20.7	0.1592156	2.2	4	2.4	2	317.8	324	1	2	15
P1434	0	5.4	0.4448816	2.8	5	2.6	0.4	283.2	302.1	0	1.6	15
P1435	0	5.4	0.6878784	2	1.6	2.6	0.2	317.1	295	0	1	15
P1436	0	27	0.1136142	1	7	3	0.6	425.1	334.1	1	2.6	15
P1437	0	6.6	0.5324184	1.2	7.6	2.4	1.4	407.7	307	0	1.2	15
P1438	0	8.7	0.1166969	1.2	4.2	1.8	0	400.8	337.1	0	1.6	15
P1439	0	28.9	0.1102959	2.6	8.6	1.2	0.4	393.8	328	1	1	15
P1440	0	33.3	0.4475112	2.8	9	2.8	1.8	422.6	357.6	0	1.6	15
P1441	0	37.3	0.151287	1.4	2.8	1.8	0.2	341.6	330.5	1	1.6	15
P1442	0	24.2	0.6663636	3	5.8	1.4	0	385.2	367.8	0	0.6	15
P1443	0	41.1	0.5822957	2.4	6.8	2	1.8	335.9	348.7	1	0.8	15
P1444	0	29.1	0.7420931	1.6	7	2.2	1.8	326.8	345.5	1	0.6	15
P1445	0	18.3	0.3566744	2.6	9.6	2.8	0.6	339.4	362.4	0	2	15
P1446	0	38	0.8379203	0.6	4.4	1.4	0.4	351.8	358.2	1	0.2	15
P1447	0	31.7	0.2772362	0.6	7.8	0.6	1.6	290.8	301.7	1	0.4	15
P1448	0	41.1	0.4706666	1.8	1.4	2.8	0.4	415.3	340.6	1	1.4	15
P1449	0	41.8	0.8574802	0.6	8.6	2.6	0.2	436.7	291	1	0.4	15
P1450	0	19.5	0.8671489	1	8.2	1.4	1	398	363.5	0	0.2	15
P1451	0	36	0.4720504	3	4.2	1	0.8	387.4	335.9	1	0.6	15
P1452	0	34.8	0.5040589	2	3.8	2	0.8	419.1	343.6	1	1	15
P1453	0	37	0.7697037	0.4	7	2.8	0.8	332.6	365.8	0	0.8	15
P1454	0	36.7	0.2491861	2.4	2.6	0.8	1.4	371.5	352.8	1	0.6	15
P1455	0	39.2	0.3079471	0.6	2	0.4	0.6	362.3	341.7	1	0.2	15
P1456	0	36.5	0.5756893	2.4	3	1.4	1.4	411.9	313.2	1	0.6	15
P1457	0	37.8	0.4789715	1.6	3.4	1.8	1.8	316.6	350.7	1	1	15
P1458	0	13.2	0.1443406	1.8	2.4	2.2	1.2	426.9	329.9	0	2	15
P1459	0	12.4	0.4077553	1.2	0.6	0.4	0.4	396.9	303.5	1	0.2	15
P1460	0	40.5	0.1847961	2	1.6	1.2	1.6	445.3	288.3	1	1	15
P1461	0	19.3	0.859089	3	2.6	2.6	0.6	432.3	342.4	0	0.4	15
P1462	0	39.1	0.7103385	0.6	9.2	1	1.6	409.7	362.5	1	0.2	15
P1463	0	32.8	0.5202616	1.6	4	1.2	0.4	327.8	295.8	1	0.6	15
P1464	0	19.3	0.7001387	0.8	8.6	2.6	0.4	300.5	345.6	0	0.8	15
P1465	0	40.4	0.4687965	2.4	0.8	1.6	1.4	376	322.6	1	0.8	15
P1466	0	24.2	0.1065717	2.8	3	1.2	1	438.5	306.2	1	1	15
P1467	0	10.2	0.554542	0.6	4	0.8	0.8	355	350.1	0	0.4	15
P1468	0	19.7	0.4241425	0.4	3.8	1.2	1.2	369.3	330.5	0	0.8	15
P1469	0	16.4	0.5398525	1.4	6.8	1.4	0.6	327.9	341.4	0	0.8	15
P1470	0	31	0.3844918	2.4	6.4	2.4	1.8	332.6	346.1	1	1.4	15
P1471	0	27.4	0.3344057	1.8	5.8	2.8	0.4	308.8	312	1	1.8	15
P1472	0	29.9	0.4031246	1.2	6.8	0.8	1.8	420.6	294.3	1	0.4	15
P1473	0	18.3	0.5500203	1.8	3.2	0.6	1.4	404.6	290.3	1	0.2	15
P1474	0	22.5	0.698665	0.8	1.8	0.6	0.8	436.9	350.7	0	0.2	15
P1475	0	18.1	0.7455719	1	1.4	0.6	0.4	393	327.6	0	0.2	15
P1476	0	23.8	0.4396402	1	3.8	3	0.2	303.7	350.7	0	1.8	15
P1477	0	40.1	0.404856	1.2	5.2	2.8	2	444.4	361.8	1	1.6	15
P1478	0	13.9	0.5281463	0.6	3.6	1.8	1.8	442.1	352.4	0	1	15
P1479	0	30.9	0.8028494	0.8	9.6	2.2	1.8	351.4	365.9	0	0.6	15
P1480	0	26.8	0.1399479	1.4	0.6	1.6	0.6	371.7	284.5	1	1.4	15
P1481	0	24.4	0.3813981	2	7.6	1.6	1.8	387.5	290.8	1	1	15
P1482	0	30.2	0.3869178	1.4	7	1.2	2	424.2	360.8	0	0.8	15
P1483	0	28.7	0.4293471	1.4	9.4	2.8	1	401.8	338.2	1	1.6	15
P1484	0	15.9	0.5878068	2.2	6.2	1.2	0.6	406.9	310.4	1	0.4	15
P1485	0	30.2	0.7176044	0.8	7.8	0.8	1.2	378.7	339.2	1	0.2	15
P1486	0	37.9	0.412227	0.8	6.6	0.4	0.8	317.6	337.5	1	0.2	15
P1487	0	38.7	0.5075582	2	3.2	2.6	1	446.6	297.8	1	1.2	15
P1488	0	38.3	0.1303112	0.6	6.4	2.4	0.2	413.2	344.7	1	2	15
P1489	0	5.8	0.5670416	2.8	7	1.2	0.2	383.3	341.7	0	0.6	15
P1490	0	32.1	0.2783523	1.2	2.2	2	0.6	287.9	298.5	1	1.4	15
P1491	0	35.1	0.3431517	2.6	3.6	1.4	1.2	332	291.4	1	1	15
P1492	0	13.2	0.8970577	0.6	9.8	1.6	1.6	300.9	299	1	0.2	15
P1493	0	10.7	0.8438706	2.8	1.6	2.8	1.6	289.5	359	0	0.6	15
P1494	0	40.4	0.3143313	0.6	8.2	0.4	1.6	352.7	306.2	1	0.2	15
P1495	0	34.7	0.2188422	2	8.2	0.8	0.4	435.6	363.2	0	0.8	15
P1496	0	13	0.218564	2.2	8.8	1.8	1.6	447.7	308.7	1	1.4	15
P1497	0	8.1	0.1707827	0.8	9.4	2.6	1.6	318.7	351	0	2.2	15
P1498	0	18.7	0.789021	1.2	4.6	1.4	2	399.7	302.7	1	0.2	15
P1499	0	40	0.551123	0.6	8.4	2	2	405	354.3	1	0.8	15
P1500	0	11.5	0.4423211	1.4	2.8	1.2	1.4	388.2	366.7	0	0.8	15
B1498	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.40	20
B1499	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1.00	20
B1500	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.40	20
B1501	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.20	20
B1502	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.40	20
B1503	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.20	20
B1504	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.40	20
B1505	1	9.3	0.3428358	3	1	1.2	1.2	554.9	373.7	0	0.80	20
B1506	1	8.3	0.7677645	0.6	8.8	0.8	1.4	346.6	412.5	0	0.20	20
B1507	1	35.8	0.8939903	1.8	8	1	1.4	340	368.7	1	0.20	20
B1508	1	22.3	0.3387812	1	6.6	1.6	0.8	386.1	392.6	1	1.00	20
B1509	1	23.8	0.3692956	1.2	7.6	1	1.6	383.5	337.3	1	0.60	20
B1510	1	17.4	0.5768433	0.8	9.4	2.2	1	371	330.7	1	1.00	20
B1511	1	19.8	0.7774823	1.6	6	3	1.6	318	303.4	1	0.60	20
B1512	1	11.2	0.1388207	0.8	4.4	0.8	1.8	363.6	283.5	1	0.60	20
B1513	1	5.2	0.5114816	2.6	9.6	1.4	0.8	532	314.4	1	0.60	20
B1514	1	18	0.3051463	1	3	0.6	1.4	397.2	396.3	0	0.60	20
B1515	1	24.8	0.5106126	0.6	2	0.6	1.6	536.8	334	1	0.20	20
B1516	1	37	0.2958338	2.6	0.6	0.6	1.6	463.5	391.2	1	0.40	20
B1517	1	8.8	0.3284455	2.6	5.4	2.4	1.2	451.1	362.5	0	1.80	20
B1518	1	10.2	0.696719	1.8	2.4	1.8	1	431.2	338.7	1	0.60	20
B1519	1	13	0.1587601	0.6	2.2	1.8	1.8	528	411.3	0	1.60	20
B1520	1	21.9	0.6492627	1.6	1.2	1.4	0.4	308.4	370.8	1	0.40	20
B1521	1	5.1	0.6221378	0.8	1.8	2.4	0.4	505.5	372.3	0	1.00	20
B1522	1	8.1	0.1160196	0.6	7.6	1.6	1.4	440.6	326	1	1.40	20
B1523	1	25.3	0.4148703	2.8	4.4	0.6	1.4	341.8	328.4	1	0.40	20
B1524	1	33.3	0.4893315	0.8	2.6	2.6	0.6	554.5	407.9	1	1.40	20
B1525	1	33.2	0.7223814	0.6	8.6	0.6	1.2	392.8	381.3	1	0.20	20
B1526	1	12.1	0.1188687	2.4	6	2.8	0	404.7	387.9	0	2.60	20
B1527	1	28.4	0.8924361	1.6	2.4	2.2	0.6	333.7	358.6	1	0.20	20
B1528	1	31.8	0.1276712	0.6	5.4	0.8	1.4	530.1	316.2	1	0.60	20
B1529	1	16.2	0.2710621	2.8	2.6	1.2	0.6	506.9	320.5	1	0.80	20
B1530	1	18.5	0.8692764	2.4	6.2	2.2	0.6	323.6	408.5	0	0.40	20
B1531	1	36.2	0.2184631	1.6	6.6	3	2	522.4	376.5	1	2.40	20
B1532	1	33.7	0.674915	1.8	4.2	1	0.4	357.8	293.4	1	0.40	20
B1533	1	18.1	0.4116614	0.8	1.8	1.2	1.6	395.3	374	1	0.80	20
B1534	1	13	0.8716177	2.2	2	1.8	0.2	448.2	344.9	1	0.20	20
B1535	1	29.5	0.3078102	2.4	8.4	2.4	0	354.8	342	1	1.60	20
B1536	1	18.8	0.170145	0.6	3	1.2	0.8	322.5	364.2	1	1.00	20
B1537	1	14.3	0.6733788	2.6	9.2	2	0.4	308.8	291.4	1	0.60	20
B1538	1	27.2	0.488326	1	9	1.8	1.2	379.5	317.1	1	1.00	20
B1539	1	8.5	0.732974	1.8	1.6	1.2	1.6	432.6	325.6	1	0.40	20
B1540	1	17.9	0.5129541	2.4	6.6	1	0.4	342	386.4	0	0.60	20
B1541	1	36.2	0.8978866	1.6	5.4	2	0.2	429.6	328	1	0.20	20
B1542	1	31.6	0.1344435	1.2	0.6	1	1.2	375.2	327.6	1	0.80	20
B1543	1	33.8	0.7941444	1.2	0.8	1.4	0.4	283.9	349.7	1	0.20	20
B1544	1	13	0.3042796	2.6	4.2	2.6	2	534.7	333.8	1	1.80	20
B1545	1	16.6	0.3284939	0.8	7	1.2	1.2	563	319.7	1	0.80	20
B1546	1	14.4	0.4930829	1.4	8.6	0.6	1.2	345	312.4	1	0.40	20
B1547	1	37	0.2912144	1.2	4.8	2.2	0.2	348.5	296	1	1.60	20
B1548	1	22.2	0.3847852	2.8	3.6	0.8	1.2	317	382.8	1	0.40	20
B1549	1	18.4	0.2683935	1.6	8	1.4	1.8	321.4	392.8	0	1.20	20
B1550	1	19.7	0.6341997	2.6	5.6	2.2	0.8	386	404.8	0	1.00	20
B1551	1	22.2	0.6143974	0.6	6	2.2	0.8	300.2	359.9	1	0.80	20
B1552	1	12.8	0.6671641	1.8	5.6	0.6	0.2	381.5	284.3	1	0.20	20
B1553	1	17.5	0.4621649	1.2	4.8	2.2	0.2	327.2	398.9	0	1.20	20
B1554	1	8.8	0.3746334	0.8	9.6	1.8	1.4	295.7	300.5	1	1.20	20
B1555	1	13.2	0.3482221	1.4	8.2	1.2	0.6	323.9	349.3	1	0.80	20
B1556	1	10.9	0.7690528	0.6	6.8	1.6	1.6	463.6	322.3	1	0.40	20
B1557	1	33.4	0.5993857	2	1.4	0.4	2	312.5	321.6	1	0.20	20
B1558	1	24	0.361789	0.8	5.6	2	0.8	432.5	364.8	1	1.20	20
B1559	1	26.2	0.4012759	0.6	4.4	1	1.8	478.1	409.1	0	0.60	20
B1560	1	17.9	0.3475468	1.8	8.6	1.6	1.6	327.4	308.4	1	1.00	20
B1561	1	29.8	0.5526484	1	1	0.6	1.2	528	337.8	1	0.20	20
B1562	1	28.3	0.4354704	2	2.4	1.2	2	286.4	342.9	1	0.60	20
B1563	1	18.4	0.7951046	2.2	1.2	2.6	0.2	292.5	413.7	0	0.60	20
B1564	1	34.9	0.3967998	2.2	3.4	1.4	1.2	426.4	408.4	1	0.80	20
B1565	1	8.3	0.5151881	1.2	9.6	1	0.8	329.9	315.8	1	0.40	20
B1566	1	36.6	0.8490283	2.2	2	2.4	2	318.3	407.1	1	0.40	20
B1567	1	31.8	0.1390254	3	1.6	1.2	1.4	404.9	339.6	1	1.00	20
B1568	1	21.9	0.7827038	0.6	5.8	1.4	1.4	550.2	327.5	1	0.40	20
B1569	1	20.2	0.5853725	2.6	6	1.2	1.8	336.9	290.3	1	0.40	20
B1570	1	30.4	0.8523124	2	0.6	0.8	1	451.7	399.4	1	0.20	20
B1571	1	34.4	0.4041978	1.4	3.6	2.6	1.8	565.2	422.9	0	1.60	20
B1572	1	25.6	0.8751045	0.8	4.2	1.8	1.2	536.9	348.8	1	0.20	20
B1573	1	22.4	0.3654328	2.2	4.2	0.8	1	511.7	332.2	1	0.60	20
B1574	1	34.1	0.4304861	3	6.6	2	1.8	547.3	413.6	1	1.20	20
B1575	1	15.4	0.3616954	0.4	3	1	0.2	486.9	366.9	1	0.60	20
B1576	1	12.2	0.8118394	1	9.2	2.4	1.6	532.5	292.7	1	0.40	20
B1577	1	35.9	0.2315804	2	8.6	1	2	476.3	302.7	1	0.80	20
B1578	1	18.3	0.5694878	2	7.2	1	0.2	540.4	319.1	1	0.40	20
B1579	1	16.7	0.5505625	1.6	9.2	2.8	0.6	519.7	409	0	1.40	20
B1580	1	7.9	0.7017251	2	3.4	0.4	1.4	532.6	418.9	0	0.20	20
B1581	1	32.3	0.2557274	2.2	2	2.6	0.6	342.6	316.7	1	2.00	20
B1582	1	8.3	0.3704778	0.6	5.4	2.2	1.4	512.9	285.3	1	1.40	20
B1583	1	24.4	0.8138302	2	8.6	2.2	1.8	508	402	0	0.60	20
B1584	1	19.6	0.1715834	1.6	9.4	2.2	0.2	546.8	359.1	1	1.80	20
B1585	1	14.4	0.5225166	2.4	1	2	0.2	285.6	346	1	1.00	20
B1586	1	15	0.6964062	0.8	4.4	0.6	1.6	518.2	308.8	1	0.20	20
B1587	1	22.3	0.4738264	1.8	1.4	1.6	0.8	477.5	360	1	0.80	20
B1588	1	8.6	0.3883961	1.4	8.6	2.2	0.6	308.3	403.2	0	1.40	20
B1589	1	7.7	0.7573988	3	4.2	2.4	1.2	454.3	401.1	0	0.60	20
B1590	1	13.5	0.6813783	0.6	2	0.8	0.4	326.2	320.8	1	0.20	20
B1591	1	27	0.775352	2	3.4	2.6	0.6	547.5	383.7	1	0.60	20
B1592	1	36.6	0.3369213	0.4	3.6	2.4	0.6	426.3	396.2	1	1.60	20
B1593	1	9.9	0.6278925	1.6	8.2	1.2	0.6	313.8	405.1	0	0.60	20
B1594	1	36.9	0.6450146	1.6	9.4	0.6	1	442.2	299	1	0.20	20
B1595	1	20.2	0.4006062	1.6	9	2.4	1.6	379.7	403.2	0	1.60	20
B1596	1	5.4	0.8449645	2.4	3	2.4	0.8	359.3	422.6	0	0.40	20
B1597	1	24.7	0.754141	1	6.8	1.8	0.2	424.4	299.9	1	0.40	20
B1598	1	33.8	0.7386966	1.4	4.2	2.2	0.6	362.3	403.7	1	0.60	20
B1599	1	30.7	0.1812905	0.6	2	2.8	1.2	334.7	404.9	1	2.20	20
B1600	1	21.6	0.4162865	1.4	9.8	2.4	0.6	483.6	381.9	1	1.40	20
B1601	1	17.3	0.7022028	1.2	3.2	2	0.4	356.2	387.7	0	0.60	20
B1602	1	14.5	0.3377996	0.6	8.6	1.8	0.4	504	422.4	0	1.20	20
B1603	1	15.3	0.6934026	2.8	7	1.4	0.4	329.5	360.7	1	0.40	20
B1604	1	12.8	0.4390628	1.6	7.4	1	0.6	406.5	380.2	0	0.60	20
B1605	1	13.8	0.2211921	1.2	1.8	1.6	1	308.4	303.3	1	1.20	20
B1606	1	9	0.6581477	1	3	1.2	2	382.4	375.1	0	0.60	20
B1607	1	35.3	0.2585767	1.8	9.2	1.8	0.6	299.7	283.3	1	1.40	20
B1608	1	28.9	0.4780034	0.6	8.6	1	1.8	309.3	317.6	1	0.60	20
B1609	1	9.8	0.2025043	2.8	4.4	0.8	0.6	487.3	358.6	0	0.80	20
B1610	1	16.8	0.3364263	2.8	8.6	2.2	0.4	389.9	387.2	0	1.60	20
B1611	1	17.2	0.2285494	1.2	9.6	0.4	0	315.7	347.2	1	0.40	20
B1612	1	36.1	0.8740138	2.2	3.4	1	1.8	301.9	393.5	1	0.20	20
B1613	1	10.7	0.7355321	2.8	3.2	2.2	0.8	514.3	290	1	0.60	20
B1614	1	13.4	0.6774268	2.2	1.6	1.2	0.2	427.7	378.1	0	0.40	20
B1615	1	19.5	0.8379519	1.4	5.6	1.8	1.4	303.3	415.7	0	0.40	20
B1616	1	7.3	0.3634635	0.8	3.4	2.4	0.2	441.5	419.5	0	1.60	20
B1617	1	7.3	0.4715659	2.4	2	2.2	1.4	544.8	363	0	1.20	20
B1618	1	13.9	0.4615468	1.4	1	1.2	1.4	397.8	410.7	0	0.80	20
B1619	1	11.1	0.6023224	0.8	7.2	2.8	0.4	304.9	391.7	0	1.20	20
B1620	1	8.3	0.2563306	2.8	4	0.8	1.8	329.3	347.5	0	0.60	20
B1621	1	35.9	0.5931555	1.8	2.2	3	1.2	349.3	310	1	1.20	20
B1622	1	28.4	0.3951926	0.6	7	0.8	1.2	383.7	423.6	0	0.60	20
B1623	1	20.9	0.5644648	0.8	4.6	1.6	1	412.2	317.6	1	0.60	20
B1624	1	34.7	0.6604552	1.4	2.8	0.6	1	479.2	283.2	1	0.20	20
B1625	1	24.1	0.5984947	3	9	0.8	1.8	496.4	319	1	0.40	20
B1626	1	19.3	0.1455637	2.6	1	0.4	1.6	546.5	312.5	1	0.40	20
B1627	1	12.6	0.6433107	0.8	3.4	1.8	0.8	417.3	328.4	1	0.60	20
B1628	1	21.2	0.1050219	1.6	9.6	2.2	0.6	529.5	306.6	1	2.00	20
B1629	1	20.3	0.5467082	2.2	0.8	1	0	431.7	407.4	0	0.60	20
B1630	1	13.9	0.198218	2.2	4.4	2.4	0.6	493.6	333.1	1	2.00	20
B1631	1	36.6	0.607179	1.6	7.6	0.8	0.4	360.1	350.2	1	0.40	20
B1632	1	24.9	0.7652587	0.8	3.2	1.6	1.2	522.4	405.3	0	0.40	20
B1633	1	17.1	0.3051304	2.4	7	2	1.8	481.5	341.7	1	1.40	20
B1634	1	6	0.660478	0.6	5.4	0.6	1.6	419.7	419.2	0	0.40	20
B1635	1	36.7	0.2364286	0.4	6.4	1.8	0.6	376.3	299.4	1	1.40	20
B1636	1	23.2	0.5016409	2.8	5.6	2	0	481.7	365.4	1	1.00	20
B1637	1	31.7	0.1017556	2.6	1.8	2.2	0.2	506	334.9	1	2.00	20
B1638	1	18.9	0.7301809	1.4	7.2	2.6	1.8	362.4	335.8	1	0.80	20
B1639	1	28.5	0.7607286	2.6	10	2.2	0	431.9	388.6	1	0.60	20
B1640	1	22.4	0.2221152	1.6	0.6	2.6	1.8	435	343.4	1	2.00	20
B1641	1	19.5	0.2829425	1	6.6	1.6	1	315.6	333.9	1	1.20	20
B1642	1	20.7	0.1139264	0.8	1.4	1.2	1.2	328.6	312	1	1.00	20
B1643	1	19.7	0.1081651	2.6	6.2	0.6	1.4	572.9	358.1	1	0.60	20
B1644	1	29.6	0.4935249	2.8	2	2.8	0.4	513.9	320.1	1	1.40	20
B1645	1	13.2	0.4006658	2.8	0.6	1.2	0.4	442.1	322	1	0.80	20
B1646	1	30.7	0.1538231	1.2	4	0.4	0.8	547	351.9	1	0.40	20
B1647	1	24	0.8281839	1	2	1.8	0.4	557.4	291.1	1	0.40	20
B1648	1	29.1	0.2094898	1.8	5.6	2	0.2	525	363.5	1	1.60	20
B1649	1	35.7	0.8386	1.2	5	1.4	1.4	433.5	387.4	1	0.20	20
B1650	1	29.7	0.551719	1.8	3.2	2.4	0.4	292.2	398.5	1	1.00	20
B1651	1	8.6	0.8782968	3	6.8	0.8	1.6	430	315	1	0.20	20
B1652	1	10.3	0.5984985	2	6.6	0.8	0.6	471.8	283.1	1	0.40	20
B1653	1	20.9	0.2836846	1.4	1.8	1	0.2	492.6	343.8	1	0.80	20
B1654	1	22.8	0.1011389	2.4	7.8	0.8	1.2	308.9	413.3	0	0.80	20
B1655	1	16.9	0.2292738	2.4	1.6	2.6	1.2	391.1	410.7	0	2.20	20
B1656	1	34.9	0.2986958	0.6	2	1.8	1.2	521.2	319.8	1	1.20	20
B1657	1	10	0.4187185	0.8	10	1.6	0.4	456.1	422.4	0	1.00	20
B1658	1	6.6	0.7506765	1.2	7.8	2	0.2	545.2	395.8	0	0.60	20
B1659	1	36.5	0.5463775	2.8	1.6	1.2	1.2	363.6	342.2	1	0.60	20
B1660	1	30.7	0.3324022	2.6	7	1.2	0.2	356.1	385.6	1	0.80	20
B1661	1	11	0.5858177	2.4	2.4	2.8	0	496.7	338.5	1	1.20	20
B1662	1	5.4	0.8287709	2.4	8.8	1.6	0.6	370.1	350.4	0	0.40	20
B1663	1	19.6	0.4035948	2	2.2	2.4	0.6	414.4	289.3	1	1.40	20
B1664	1	21.6	0.230469	2.2	4	1.2	0.8	339.7	380.9	1	1.00	20
B1665	1	20.4	0.3357054	1.8	7.4	2.2	1.8	410.7	418.1	0	1.60	20
B1666	1	18.3	0.7455575	2.4	5.2	0.8	1	415.2	388	0	0.40	20
B1667	1	14.2	0.2459401	1.6	8.6	1.8	1	457.3	422.7	0	1.40	20
B1668	1	28.2	0.4370778	2.8	9.8	2.4	1.2	316.6	364.3	1	1.40	20
B1669	1	18.9	0.7365572	0.8	7.8	2.8	2	369.6	362.1	1	0.80	20
B1670	1	23.3	0.3320286	1.8	2.6	1.8	1.2	525.8	407.5	0	1.40	20
B1671	1	28.9	0.6926961	2	6.4	1.4	1.6	330.8	336.9	1	0.40	20
B1672	1	8.6	0.6977027	1.2	7.6	2.6	1.6	314.6	307.2	1	0.80	20
B1673	1	21.4	0.3534536	2.4	7.6	1.8	0.8	354.3	355.2	1	1.20	20
B1674	1	27.4	0.6680979	2.2	9.2	0.6	0.2	415.6	333.7	1	0.20	20
B1675	1	12	0.7300118	2.8	6.6	2.4	0.4	452.7	391.6	0	0.80	20
B1676	1	31.1	0.1293221	2	3.4	2	1.4	467.1	349.1	1	1.80	20
B1677	1	35.5	0.3261396	1.8	3.6	2.8	1.4	397.9	372.6	1	1.80	20
B1678	1	14.4	0.6840715	1.4	2.8	2	1	304.4	285.3	1	0.60	20
B1679	1	26.7	0.1535604	1.2	8.4	3	1	533	381	1	2.60	20
B1680	1	9.7	0.2561388	0.8	4.6	3	1.4	518.7	354.7	0	2.40	20
B1681	1	25.1	0.7688613	2.4	6	1.8	0.4	302.5	347.9	1	0.40	20
B1682	1	6.6	0.2013609	1.2	6.2	1	0.2	445.5	406	0	0.80	20
B1683	1	10.7	0.438362	1.6	0.6	1.6	1.2	339.1	295.3	1	0.80	20
B1684	1	15.4	0.8145446	2.6	2.4	3	1.4	363.6	315.3	1	0.60	20
B1685	1	15.9	0.7554094	2	0.4	0.8	1.8	480	362	1	0.20	20
B1686	1	16.1	0.6788958	2.6	7.8	1.8	0.2	503.4	405	0	0.60	20
B1687	1	21.7	0.525449	1.4	7.2	2.4	0.6	324.9	417.1	0	1.20	20
B1688	1	6.9	0.3097552	1.2	0.8	2.6	0.4	360.6	342.3	0	1.80	20
B1689	1	26.9	0.1325472	0.8	6.4	2.4	1.6	438.6	385.8	1	2.00	20
B1690	1	25.2	0.4800648	1.4	9.4	2.2	1.8	458.8	320.8	1	1.20	20
B1691	1	28.1	0.2992327	1	9	1	0.6	331.1	409.3	0	0.80	20
B1692	1	16.9	0.5171439	3	4	2.4	0.4	436.6	400.9	0	1.20	20
B1693	1	33.8	0.706917	2.4	2	2	1.4	483.8	341.9	1	0.60	20
B1694	1	16	0.2180514	2.2	5.2	3	1.4	556.6	413.1	0	2.40	20
B1695	1	35.5	0.8953903	2.2	9.6	1	0.8	344.4	289.5	1	0.20	20
B1696	1	24.4	0.5576909	0.6	4.4	2.8	1.6	345.5	316.5	1	1.20	20
B1697	1	28.8	0.2770401	2	8.6	1.6	1.4	529	373.2	1	1.20	20
B1698	1	16.9	0.2329076	1.4	1.4	1.4	1.8	494.4	329.4	1	1.00	20
B1699	1	5.6	0.7284378	3	1.2	0.4	0	476.3	346	0	0.20	20
B1700	1	29.6	0.1886352	2.2	4	2	1.6	379	409.3	1	1.60	20
B1701	1	35.7	0.2253263	1.8	3	0.8	1.6	306.2	393.1	1	0.60	20
B1702	1	20.6	0.4687073	2.6	9.6	0.4	1.6	359.5	376.6	1	0.20	20
B1703	1	21.7	0.3747719	1	4.6	3	1.8	356.6	359.6	1	1.80	20
B1704	1	33.8	0.6787443	2.6	6.8	2.4	0.2	416.3	328.6	1	0.80	20
B1705	1	33.6	0.6138788	3	7.2	0.6	1.8	329.3	368.8	1	0.20	20
B1706	1	33.6	0.3658967	2.2	1.4	1	1.8	397.7	334.4	1	0.60	20
B1707	1	30.3	0.7111144	0.4	3.8	0.6	0.8	426.5	348.2	1	0.20	20
B1708	1	8.3	0.1988363	2.2	4.6	1.2	2	334	299.5	1	1.00	20
B1709	1	25.1	0.3504186	1.4	5.2	1.8	0.2	492.1	308.6	1	1.20	20
B1710	1	17.7	0.3574845	0.4	7.8	3	1	290.3	367.6	1	2.00	20
B1711	1	31.8	0.587667	2.6	3.8	2.2	1.6	295.5	293	1	1.00	20
B1712	1	29.2	0.1869355	1.8	0.8	2.6	1.2	418.9	333.2	1	2.20	20
B1713	1	33.2	0.1378062	1.6	6.4	2.4	1.6	351.5	307.8	1	2.00	20
B1714	1	18.4	0.2635818	3	5.2	0.4	2	498.4	353.3	1	0.20	20
B1715	1	14.4	0.4986611	2.2	8.4	2.6	1.6	288.1	396.7	0	1.40	20
B1716	1	10.4	0.8517231	1	7.4	0.8	0	540.4	333.9	1	0.20	20
B1717	1	24.4	0.6487039	2.4	3.8	2.4	1	486.8	311	1	0.80	20
B1718	1	14.8	0.4968932	1.6	9.4	2.2	1.2	545	377.1	0	1.20	20
B1719	1	13.2	0.7099868	3	8.4	2.4	0.4	404.3	371.3	0	0.80	20
B1720	1	36.5	0.4921459	2.4	2.2	1.2	1.8	477.9	343.9	1	0.60	20
